,Name,Type 1,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
404,Relicanth,Water,485,100,90,130,45,65,55,3,False
405,Luvdisc,Water,330,43,30,55,40,65,97,3,False
406,Bagon,Dragon,300,45,75,60,40,30,50,3,False
407,Shelgon,Dragon,420,65,95,100,60,50,50,3,False
408,Salamence,Dragon,600,95,135,80,110,80,100,3,False
409,SalamenceMega Salamence,Dragon,700,95,145,130,120,90,120,3,False
410,Beldum,Steel,300,40,55,80,35,60,30,3,False
411,Metang,Steel,420,60,75,100,55,80,50,3,False
412,Metagross,Steel,600,80,135,130,95,90,70,3,False
413,MetagrossMega Metagross,Steel,700,80,145,150,105,110,110,3,False
414,Regirock,Rock,580,80,100,200,50,100,50,3,True
415,Regice,Ice,580,80,50,100,100,200,50,3,True
416,Registeel,Steel,580,80,75,150,75,150,50,3,True
417,Latias,Dragon,600,80,80,90,110,130,110,3,True
418,LatiasMega Latias,Dragon,700,80,100,120,140,150,110,3,True
419,Latios,Dragon,600,80,90,80,130,110,110,3,True
420,LatiosMega Latios,Dragon,700,80,130,100,160,120,110,3,True
421,Kyogre,Water,670,100,100,90,150,140,90,3,True
422,KyogrePrimal Kyogre,Water,770,100,150,90,180,160,90,3,True
423,Groudon,Ground,670,100,150,140,100,90,90,3,True
424,GroudonPrimal Groudon,Ground,770,100,180,160,150,90,90,3,True
425,Rayquaza,Dragon,680,105,150,90,150,90,95,3,True
426,RayquazaMega Rayquaza,Dragon,780,105,180,100,180,100,115,3,True
427,Jirachi,Steel,600,100,100,100,100,100,100,3,True
428,DeoxysNormal Forme,Psychic,600,50,150,50,150,50,150,3,True
429,DeoxysAttack Forme,Psychic,600,50,180,20,180,20,150,3,True
430,DeoxysDefense Forme,Psychic,600,50,70,160,70,160,90,3,True
431,DeoxysSpeed Forme,Psychic,600,50,95,90,95,90,180,3,True
432,Turtwig,Grass,318,55,68,64,45,55,31,4,False
433,Grotle,Grass,405,75,89,85,55,65,36,4,False
434,Torterra,Grass,525,95,109,105,75,85,56,4,False
435,Chimchar,Fire,309,44,58,44,58,44,61,4,False
436,Monferno,Fire,405,64,78,52,78,52,81,4,False
437,Infernape,Fire,534,76,104,71,104,71,108,4,False
438,Piplup,Water,314,53,51,53,61,56,40,4,False
439,Prinplup,Water,405,64,66,68,81,76,50,4,False
440,Empoleon,Water,530,84,86,88,111,101,60,4,False
441,Starly,Normal,245,40,55,30,30,30,60,4,False
442,Staravia,Normal,340,55,75,50,40,40,80,4,False
443,Staraptor,Normal,485,85,120,70,50,60,100,4,False
444,Bidoof,Normal,250,59,45,40,35,40,31,4,False
445,Bibarel,Normal,410,79,85,60,55,60,71,4,False
446,Kricketot,Bug,194,37,25,41,25,41,25,4,False
447,Kricketune,Bug,384,77,85,51,55,51,65,4,False
448,Shinx,Electric,263,45,65,34,40,34,45,4,False
449,Luxio,Electric,363,60,85,49,60,49,60,4,False
450,Luxray,Electric,523,80,120,79,95,79,70,4,False
451,Budew,Grass,280,40,30,35,50,70,55,4,False
452,Roserade,Grass,515,60,70,65,125,105,90,4,False
453,Cranidos,Rock,350,67,125,40,30,30,58,4,False
454,Rampardos,Rock,495,97,165,60,65,50,58,4,False
455,Shieldon,Rock,350,30,42,118,42,88,30,4,False
456,Bastiodon,Rock,495,60,52,168,47,138,30,4,False
457,Burmy,Bug,224,40,29,45,29,45,36,4,False
458,WormadamPlant Cloak,Bug,424,60,59,85,79,105,36,4,False
459,WormadamSandy Cloak,Bug,424,60,79,105,59,85,36,4,False
460,WormadamTrash Cloak,Bug,424,60,69,95,69,95,36,4,False
461,Mothim,Bug,424,70,94,50,94,50,66,4,False
462,Combee,Bug,244,30,30,42,30,42,70,4,False
463,Vespiquen,Bug,474,70,80,102,80,102,40,4,False
464,Pachirisu,Electric,405,60,45,70,45,90,95,4,False
465,Buizel,Water,330,55,65,35,60,30,85,4,False
466,Floatzel,Water,495,85,105,55,85,50,115,4,False
467,Cherubi,Grass,275,45,35,45,62,53,35,4,False
468,Cherrim,Grass,450,70,60,70,87,78,85,4,False
469,Shellos,Water,325,76,48,48,57,62,34,4,False
470,Gastrodon,Water,475,111,83,68,92,82,39,4,False
471,Ambipom,Normal,482,75,100,66,60,66,115,4,False
472,Drifloon,Ghost,348,90,50,34,60,44,70,4,False
473,Drifblim,Ghost,498,150,80,44,90,54,80,4,False
474,Buneary,Normal,350,55,66,44,44,56,85,4,False
475,Lopunny,Normal,480,65,76,84,54,96,105,4,False
476,LopunnyMega Lopunny,Normal,580,65,136,94,54,96,135,4,False
477,Mismagius,Ghost,495,60,60,60,105,105,105,4,False
478,Honchkrow,Dark,505,100,125,52,105,52,71,4,False
479,Glameow,Normal,310,49,55,42,42,37,85,4,False
480,Purugly,Normal,452,71,82,64,64,59,112,4,False
481,Chingling,Psychic,285,45,30,50,65,50,45,4,False
482,Stunky,Poison,329,63,63,47,41,41,74,4,False
483,Skuntank,Poison,479,103,93,67,71,61,84,4,False
484,Bronzor,Steel,300,57,24,86,24,86,23,4,False
485,Bronzong,Steel,500,67,89,116,79,116,33,4,False
486,Bonsly,Rock,290,50,80,95,10,45,10,4,False
487,Mime Jr.,Psychic,310,20,25,45,70,90,60,4,False
488,Happiny,Normal,220,100,5,5,15,65,30,4,False
489,Chatot,Normal,411,76,65,45,92,42,91,4,False
490,Spiritomb,Ghost,485,50,92,108,92,108,35,4,False
491,Gible,Dragon,300,58,70,45,40,45,42,4,False
492,Gabite,Dragon,410,68,90,65,50,55,82,4,False
493,Garchomp,Dragon,600,108,130,95,80,85,102,4,False
494,GarchompMega Garchomp,Dragon,700,108,170,115,120,95,92,4,False
495,Munchlax,Normal,390,135,85,40,40,85,5,4,False
496,Riolu,Fighting,285,40,70,40,35,40,60,4,False
497,Lucario,Fighting,525,70,110,70,115,70,90,4,False
498,LucarioMega Lucario,Fighting,625,70,145,88,140,70,112,4,False
499,Hippopotas,Ground,330,68,72,78,38,42,32,4,False
500,Hippowdon,Ground,525,108,112,118,68,72,47,4,False
501,Skorupi,Poison,330,40,50,90,30,55,65,4,False
502,Drapion,Poison,500,70,90,110,60,75,95,4,False
503,Croagunk,Poison,300,48,61,40,61,40,50,4,False
504,Toxicroak,Poison,490,83,106,65,86,65,85,4,False
505,Carnivine,Grass,454,74,100,72,90,72,46,4,False
506,Finneon,Water,330,49,49,56,49,61,66,4,False
507,Lumineon,Water,460,69,69,76,69,86,91,4,False
508,Mantyke,Water,345,45,20,50,60,120,50,4,False
509,Snover,Grass,334,60,62,50,62,60,40,4,False
510,Abomasnow,Grass,494,90,92,75,92,85,60,4,False
511,AbomasnowMega Abomasnow,Grass,594,90,132,105,132,105,30,4,False
512,Weavile,Dark,510,70,120,65,45,85,125,4,False
513,Magnezone,Electric,535,70,70,115,130,90,60,4,False
514,Lickilicky,Normal,515,110,85,95,80,95,50,4,False
515,Rhyperior,Ground,535,115,140,130,55,55,40,4,False
516,Tangrowth,Grass,535,100,100,125,110,50,50,4,False
517,Electivire,Electric,540,75,123,67,95,85,95,4,False
518,Magmortar,Fire,540,75,95,67,125,95,83,4,False
519,Togekiss,Fairy,545,85,50,95,120,115,80,4,False
520,Yanmega,Bug,515,86,76,86,116,56,95,4,False
521,Leafeon,Grass,525,65,110,130,60,65,95,4,False
522,Glaceon,Ice,525,65,60,110,130,95,65,4,False
523,Gliscor,Ground,510,75,95,125,45,75,95,4,False
524,Mamoswine,Ice,530,110,130,80,70,60,80,4,False
525,Porygon-Z,Normal,535,85,80,70,135,75,90,4,False
526,Gallade,Psychic,518,68,125,65,65,115,80,4,False
527,GalladeMega Gallade,Psychic,618,68,165,95,65,115,110,4,False
528,Probopass,Rock,525,60,55,145,75,150,40,4,False
529,Dusknoir,Ghost,525,45,100,135,65,135,45,4,False
530,Froslass,Ice,480,70,80,70,80,70,110,4,False
531,Rotom,Electric,440,50,50,77,95,77,91,4,False
532,RotomHeat Rotom,Electric,520,50,65,107,105,107,86,4,False
533,RotomWash Rotom,Electric,520,50,65,107,105,107,86,4,False
534,RotomFrost Rotom,Electric,520,50,65,107,105,107,86,4,False
535,RotomFan Rotom,Electric,520,50,65,107,105,107,86,4,False
536,RotomMow Rotom,Electric,520,50,65,107,105,107,86,4,False
537,Uxie,Psychic,580,75,75,130,75,130,95,4,True
538,Mesprit,Psychic,580,80,105,105,105,105,80,4,True
539,Azelf,Psychic,580,75,125,70,125,70,115,4,True
540,Dialga,Steel,680,100,120,120,150,100,90,4,True
541,Palkia,Water,680,90,120,100,150,120,100,4,True
542,Heatran,Fire,600,91,90,106,130,106,77,4,True
543,Regigigas,Normal,670,110,160,110,80,110,100,4,True
544,GiratinaAltered Forme,Ghost,680,150,100,120,100,120,90,4,True
545,GiratinaOrigin Forme,Ghost,680,150,120,100,120,100,90,4,True
546,Cresselia,Psychic,600,120,70,120,75,130,85,4,False
547,Phione,Water,480,80,80,80,80,80,80,4,False
548,Manaphy,Water,600,100,100,100,100,100,100,4,False
549,Darkrai,Dark,600,70,90,90,135,90,125,4,True
550,ShayminLand Forme,Grass,600,100,100,100,100,100,100,4,True
551,ShayminSky Forme,Grass,600,100,103,75,120,75,127,4,True
552,Arceus,Normal,720,120,120,120,120,120,120,4,True
553,Victini,Psychic,600,100,100,100,100,100,100,5,True
554,Snivy,Grass,308,45,45,55,45,55,63,5,False
555,Servine,Grass,413,60,60,75,60,75,83,5,False
556,Serperior,Grass,528,75,75,95,75,95,113,5,False
557,Tepig,Fire,308,65,63,45,45,45,45,5,False
558,Pignite,Fire,418,90,93,55,70,55,55,5,False
559,Emboar,Fire,528,110,123,65,100,65,65,5,False
560,Oshawott,Water,308,55,55,45,63,45,45,5,False
561,Dewott,Water,413,75,75,60,83,60,60,5,False
562,Samurott,Water,528,95,100,85,108,70,70,5,False
563,Patrat,Normal,255,45,55,39,35,39,42,5,False
564,Watchog,Normal,420,60,85,69,60,69,77,5,False
565,Lillipup,Normal,275,45,60,45,25,45,55,5,False
566,Herdier,Normal,370,65,80,65,35,65,60,5,False
567,Stoutland,Normal,500,85,110,90,45,90,80,5,False
568,Purrloin,Dark,281,41,50,37,50,37,66,5,False
569,Liepard,Dark,446,64,88,50,88,50,106,5,False
570,Pansage,Grass,316,50,53,48,53,48,64,5,False
571,Simisage,Grass,498,75,98,63,98,63,101,5,False
572,Pansear,Fire,316,50,53,48,53,48,64,5,False
573,Simisear,Fire,498,75,98,63,98,63,101,5,False
574,Panpour,Water,316,50,53,48,53,48,64,5,False
575,Simipour,Water,498,75,98,63,98,63,101,5,False
576,Munna,Psychic,292,76,25,45,67,55,24,5,False
577,Musharna,Psychic,487,116,55,85,107,95,29,5,False
578,Pidove,Normal,264,50,55,50,36,30,43,5,False
579,Tranquill,Normal,358,62,77,62,50,42,65,5,False
580,Unfezant,Normal,488,80,115,80,65,55,93,5,False
581,Blitzle,Electric,295,45,60,32,50,32,76,5,False
582,Zebstrika,Electric,497,75,100,63,80,63,116,5,False
583,Roggenrola,Rock,280,55,75,85,25,25,15,5,False
584,Boldore,Rock,390,70,105,105,50,40,20,5,False
585,Gigalith,Rock,515,85,135,130,60,80,25,5,False
586,Woobat,Psychic,313,55,45,43,55,43,72,5,False
587,Swoobat,Psychic,425,67,57,55,77,55,114,5,False
588,Drilbur,Ground,328,60,85,40,30,45,68,5,False
589,Excadrill,Ground,508,110,135,60,50,65,88,5,False
590,Audino,Normal,445,103,60,86,60,86,50,5,False
591,AudinoMega Audino,Normal,545,103,60,126,80,126,50,5,False
592,Timburr,Fighting,305,75,80,55,25,35,35,5,False
593,Gurdurr,Fighting,405,85,105,85,40,50,40,5,False
594,Conkeldurr,Fighting,505,105,140,95,55,65,45,5,False
595,Tympole,Water,294,50,50,40,50,40,64,5,False
596,Palpitoad,Water,384,75,65,55,65,55,69,5,False
597,Seismitoad,Water,509,105,95,75,85,75,74,5,False
598,Throh,Fighting,465,120,100,85,30,85,45,5,False
599,Sawk,Fighting,465,75,125,75,30,75,85,5,False
600,Sewaddle,Bug,310,45,53,70,40,60,42,5,False
601,Swadloon,Bug,380,55,63,90,50,80,42,5,False
602,Leavanny,Bug,500,75,103,80,70,80,92,5,False
603,Venipede,Bug,260,30,45,59,30,39,57,5,False
604,Whirlipede,Bug,360,40,55,99,40,79,47,5,False
605,Scolipede,Bug,485,60,100,89,55,69,112,5,False
606,Cottonee,Grass,280,40,27,60,37,50,66,5,False
607,Whimsicott,Grass,480,60,67,85,77,75,116,5,False
608,Petilil,Grass,280,45,35,50,70,50,30,5,False
609,Lilligant,Grass,480,70,60,75,110,75,90,5,False
610,Basculin,Water,460,70,92,65,80,55,98,5,False
611,Sandile,Ground,292,50,72,35,35,35,65,5,False
612,Krokorok,Ground,351,60,82,45,45,45,74,5,False
613,Krookodile,Ground,519,95,117,80,65,70,92,5,False
614,Darumaka,Fire,315,70,90,45,15,45,50,5,False
615,DarmanitanStandard Mode,Fire,480,105,140,55,30,55,95,5,False
616,DarmanitanZen Mode,Fire,540,105,30,105,140,105,55,5,False
617,Maractus,Grass,461,75,86,67,106,67,60,5,False
618,Dwebble,Bug,325,50,65,85,35,35,55,5,False
619,Crustle,Bug,475,70,95,125,65,75,45,5,False
620,Scraggy,Dark,348,50,75,70,35,70,48,5,False
621,Scrafty,Dark,488,65,90,115,45,115,58,5,False
622,Sigilyph,Psychic,490,72,58,80,103,80,97,5,False
623,Yamask,Ghost,303,38,30,85,55,65,30,5,False
624,Cofagrigus,Ghost,483,58,50,145,95,105,30,5,False
625,Tirtouga,Water,355,54,78,103,53,45,22,5,False
626,Carracosta,Water,495,74,108,133,83,65,32,5,False
627,Archen,Rock,401,55,112,45,74,45,70,5,False
628,Archeops,Rock,567,75,140,65,112,65,110,5,False
629,Trubbish,Poison,329,50,50,62,40,62,65,5,False
630,Garbodor,Poison,474,80,95,82,60,82,75,5,False
631,Zorua,Dark,330,40,65,40,80,40,65,5,False
632,Zoroark,Dark,510,60,105,60,120,60,105,5,False
633,Minccino,Normal,300,55,50,40,40,40,75,5,False
634,Cinccino,Normal,470,75,95,60,65,60,115,5,False
635,Gothita,Psychic,290,45,30,50,55,65,45,5,False
636,Gothorita,Psychic,390,60,45,70,75,85,55,5,False
637,Gothitelle,Psychic,490,70,55,95,95,110,65,5,False
638,Solosis,Psychic,290,45,30,40,105,50,20,5,False
639,Duosion,Psychic,370,65,40,50,125,60,30,5,False
640,Reuniclus,Psychic,490,110,65,75,125,85,30,5,False
641,Ducklett,Water,305,62,44,50,44,50,55,5,False
642,Swanna,Water,473,75,87,63,87,63,98,5,False
643,Vanillite,Ice,305,36,50,50,65,60,44,5,False
644,Vanillish,Ice,395,51,65,65,80,75,59,5,False
645,Vanilluxe,Ice,535,71,95,85,110,95,79,5,False
646,Deerling,Normal,335,60,60,50,40,50,75,5,False
647,Sawsbuck,Normal,475,80,100,70,60,70,95,5,False
648,Emolga,Electric,428,55,75,60,75,60,103,5,False
649,Karrablast,Bug,315,50,75,45,40,45,60,5,False
650,Escavalier,Bug,495,70,135,105,60,105,20,5,False
651,Foongus,Grass,294,69,55,45,55,55,15,5,False
652,Amoonguss,Grass,464,114,85,70,85,80,30,5,False
653,Frillish,Water,335,55,40,50,65,85,40,5,False
654,Jellicent,Water,480,100,60,70,85,105,60,5,False
655,Alomomola,Water,470,165,75,80,40,45,65,5,False
656,Joltik,Bug,319,50,47,50,57,50,65,5,False
657,Galvantula,Bug,472,70,77,60,97,60,108,5,False
658,Ferroseed,Grass,305,44,50,91,24,86,10,5,False
659,Ferrothorn,Grass,489,74,94,131,54,116,20,5,False
660,Klink,Steel,300,40,55,70,45,60,30,5,False
661,Klang,Steel,440,60,80,95,70,85,50,5,False
662,Klinklang,Steel,520,60,100,115,70,85,90,5,False
663,Tynamo,Electric,275,35,55,40,45,40,60,5,False
664,Eelektrik,Electric,405,65,85,70,75,70,40,5,False
665,Eelektross,Electric,515,85,115,80,105,80,50,5,False
666,Elgyem,Psychic,335,55,55,55,85,55,30,5,False
667,Beheeyem,Psychic,485,75,75,75,125,95,40,5,False
668,Litwick,Ghost,275,50,30,55,65,55,20,5,False
669,Lampent,Ghost,370,60,40,60,95,60,55,5,False
670,Chandelure,Ghost,520,60,55,90,145,90,80,5,False
671,Axew,Dragon,320,46,87,60,30,40,57,5,False
672,Fraxure,Dragon,410,66,117,70,40,50,67,5,False
673,Haxorus,Dragon,540,76,147,90,60,70,97,5,False
674,Cubchoo,Ice,305,55,70,40,60,40,40,5,False
675,Beartic,Ice,485,95,110,80,70,80,50,5,False
676,Cryogonal,Ice,485,70,50,30,95,135,105,5,False
677,Shelmet,Bug,305,50,40,85,40,65,25,5,False
678,Accelgor,Bug,495,80,70,40,100,60,145,5,False
679,Stunfisk,Ground,471,109,66,84,81,99,32,5,False
680,Mienfoo,Fighting,350,45,85,50,55,50,65,5,False
681,Mienshao,Fighting,510,65,125,60,95,60,105,5,False
682,Druddigon,Dragon,485,77,120,90,60,90,48,5,False
683,Golett,Ground,303,59,74,50,35,50,35,5,False
684,Golurk,Ground,483,89,124,80,55,80,55,5,False
685,Pawniard,Dark,340,45,85,70,40,40,60,5,False
686,Bisharp,Dark,490,65,125,100,60,70,70,5,False
687,Bouffalant,Normal,490,95,110,95,40,95,55,5,False
688,Rufflet,Normal,350,70,83,50,37,50,60,5,False
689,Braviary,Normal,510,100,123,75,57,75,80,5,False
690,Vullaby,Dark,370,70,55,75,45,65,60,5,False
691,Mandibuzz,Dark,510,110,65,105,55,95,80,5,False
692,Heatmor,Fire,484,85,97,66,105,66,65,5,False
693,Durant,Bug,484,58,109,112,48,48,109,5,False
694,Deino,Dark,300,52,65,50,45,50,38,5,False
695,Zweilous,Dark,420,72,85,70,65,70,58,5,False
696,Hydreigon,Dark,600,92,105,90,125,90,98,5,False
697,Larvesta,Bug,360,55,85,55,50,55,60,5,False
698,Volcarona,Bug,550,85,60,65,135,105,100,5,False
699,Cobalion,Steel,580,91,90,129,90,72,108,5,True
700,Terrakion,Rock,580,91,129,90,72,90,108,5,True
701,Virizion,Grass,580,91,90,72,90,129,108,5,True
702,TornadusIncarnate Forme,Flying,580,79,115,70,125,80,111,5,True
703,TornadusTherian Forme,Flying,580,79,100,80,110,90,121,5,True
704,ThundurusIncarnate Forme,Electric,580,79,115,70,125,80,111,5,True
705,ThundurusTherian Forme,Electric,580,79,105,70,145,80,101,5,True
706,Reshiram,Dragon,680,100,120,100,150,120,90,5,True
707,Zekrom,Dragon,680,100,150,120,120,100,90,5,True
708,LandorusIncarnate Forme,Ground,600,89,125,90,115,80,101,5,True
709,LandorusTherian Forme,Ground,600,89,145,90,105,80,91,5,True
710,Kyurem,Dragon,660,125,130,90,130,90,95,5,True
711,KyuremBlack Kyurem,Dragon,700,125,170,100,120,90,95,5,True
712,KyuremWhite Kyurem,Dragon,700,125,120,90,170,100,95,5,True
713,KeldeoOrdinary Forme,Water,580,91,72,90,129,90,108,5,False
714,KeldeoResolute Forme,Water,580,91,72,90,129,90,108,5,False
715,MeloettaAria Forme,Normal,600,100,77,77,128,128,90,5,False
716,MeloettaPirouette Forme,Normal,600,100,128,90,77,77,128,5,False
717,Genesect,Bug,600,71,120,95,120,95,99,5,False
718,Chespin,Grass,313,56,61,65,48,45,38,6,False
719,Quilladin,Grass,405,61,78,95,56,58,57,6,False
720,Chesnaught,Grass,530,88,107,122,74,75,64,6,False
721,Fennekin,Fire,307,40,45,40,62,60,60,6,False
722,Braixen,Fire,409,59,59,58,90,70,73,6,False
723,Delphox,Fire,534,75,69,72,114,100,104,6,False
724,Froakie,Water,314,41,56,40,62,44,71,6,False
725,Frogadier,Water,405,54,63,52,83,56,97,6,False
726,Greninja,Water,530,72,95,67,103,71,122,6,False
727,Bunnelby,Normal,237,38,36,38,32,36,57,6,False
728,Diggersby,Normal,423,85,56,77,50,77,78,6,False
729,Fletchling,Normal,278,45,50,43,40,38,62,6,False
730,Fletchinder,Fire,382,62,73,55,56,52,84,6,False
731,Talonflame,Fire,499,78,81,71,74,69,126,6,False
732,Scatterbug,Bug,200,38,35,40,27,25,35,6,False
733,Spewpa,Bug,213,45,22,60,27,30,29,6,False
734,Vivillon,Bug,411,80,52,50,90,50,89,6,False
735,Litleo,Fire,369,62,50,58,73,54,72,6,False
736,Pyroar,Fire,507,86,68,72,109,66,106,6,False
737,Flabébé,Fairy,303,44,38,39,61,79,42,6,False
738,Floette,Fairy,371,54,45,47,75,98,52,6,False
739,Florges,Fairy,552,78,65,68,112,154,75,6,False
740,Skiddo,Grass,350,66,65,48,62,57,52,6,False
741,Gogoat,Grass,531,123,100,62,97,81,68,6,False
742,Pancham,Fighting,348,67,82,62,46,48,43,6,False
743,Pangoro,Fighting,495,95,124,78,69,71,58,6,False
744,Furfrou,Normal,472,75,80,60,65,90,102,6,False
745,Espurr,Psychic,355,62,48,54,63,60,68,6,False
746,MeowsticMale,Psychic,466,74,48,76,83,81,104,6,False
747,MeowsticFemale,Psychic,466,74,48,76,83,81,104,6,False
748,Honedge,Steel,325,45,80,100,35,37,28,6,False
749,Doublade,Steel,448,59,110,150,45,49,35,6,False
750,AegislashBlade Forme,Steel,520,60,150,50,150,50,60,6,False
751,AegislashShield Forme,Steel,520,60,50,150,50,150,60,6,False
752,Spritzee,Fairy,341,78,52,60,63,65,23,6,False
753,Aromatisse,Fairy,462,101,72,72,99,89,29,6,False
754,Swirlix,Fairy,341,62,48,66,59,57,49,6,False
755,Slurpuff,Fairy,480,82,80,86,85,75,72,6,False
756,Inkay,Dark,288,53,54,53,37,46,45,6,False
757,Malamar,Dark,482,86,92,88,68,75,73,6,False
758,Binacle,Rock,306,42,52,67,39,56,50,6,False
759,Barbaracle,Rock,500,72,105,115,54,86,68,6,False
760,Skrelp,Poison,320,50,60,60,60,60,30,6,False
761,Dragalge,Poison,494,65,75,90,97,123,44,6,False
762,Clauncher,Water,330,50,53,62,58,63,44,6,False
763,Clawitzer,Water,500,71,73,88,120,89,59,6,False
764,Helioptile,Electric,289,44,38,33,61,43,70,6,False
765,Heliolisk,Electric,481,62,55,52,109,94,109,6,False
766,Tyrunt,Rock,362,58,89,77,45,45,48,6,False
767,Tyrantrum,Rock,521,82,121,119,69,59,71,6,False
768,Amaura,Rock,362,77,59,50,67,63,46,6,False
769,Aurorus,Rock,521,123,77,72,99,92,58,6,False
770,Sylveon,Fairy,525,95,65,65,110,130,60,6,False
771,Hawlucha,Fighting,500,78,92,75,74,63,118,6,False
772,Dedenne,Electric,431,67,58,57,81,67,101,6,False
773,Carbink,Rock,500,50,50,150,50,150,50,6,False
774,Goomy,Dragon,300,45,50,35,55,75,40,6,False
775,Sliggoo,Dragon,452,68,75,53,83,113,60,6,False
776,Goodra,Dragon,600,90,100,70,110,150,80,6,False
777,Klefki,Steel,470,57,80,91,80,87,75,6,False
778,Phantump,Ghost,309,43,70,48,50,60,38,6,False
779,Trevenant,Ghost,474,85,110,76,65,82,56,6,False
780,PumpkabooAverage Size,Ghost,335,49,66,70,44,55,51,6,False
781,PumpkabooSmall Size,Ghost,335,44,66,70,44,55,56,6,False
782,PumpkabooLarge Size,Ghost,335,54,66,70,44,55,46,6,False
783,PumpkabooSuper Size,Ghost,335,59,66,70,44,55,41,6,False
784,GourgeistAverage Size,Ghost,494,65,90,122,58,75,84,6,False
785,GourgeistSmall Size,Ghost,494,55,85,122,58,75,99,6,False
786,GourgeistLarge Size,Ghost,494,75,95,122,58,75,69,6,False
787,GourgeistSuper Size,Ghost,494,85,100,122,58,75,54,6,False
788,Bergmite,Ice,304,55,69,85,32,35,28,6,False
789,Avalugg,Ice,514,95,117,184,44,46,28,6,False
790,Noibat,Flying,245,40,30,35,45,40,55,6,False
791,Noivern,Flying,535,85,70,80,97,80,123,6,False
792,Xerneas,Fairy,680,126,131,95,131,98,99,6,True
793,Yveltal,Dark,680,126,131,95,131,98,99,6,True
794,Zygarde50% Forme,Dragon,600,108,100,121,81,95,95,6,True
795,Diancie,Rock,600,50,100,150,100,150,50,6,True
796,DiancieMega Diancie,Rock,700,50,160,110,160,110,110,6,True
797,HoopaHoopa Confined,Psychic,600,80,110,60,150,130,70,6,True
798,HoopaHoopa Unbound,Psychic,680,80,160,60,170,130,80,6,True
799,Volcanion,Fire,600,80,110,120,130,90,70,6,True
